"Week","HomeTeam","AwayTeam","Actual","Predicted","Confidence","Correct","ConfBucket"
28,"Verona","Cagliari","D","H",12,FALSE,"0-20%"
28,"Fiorentina","Bologna","D","H",31,FALSE,"30-40%"
28,"Lazio","Juventus","H","A",6,FALSE,"0-20%"
28,"Parma","Cagliari","D","H",18,FALSE,"0-20%"
28,"Como","Cremonese","D","H",34,FALSE,"30-40%"
28,"Juventus","Atalanta","D","H",9,FALSE,"0-20%"
28,"Cagliari","Inter","A","A",61,TRUE,"40%+"
28,"Parma","Fiorentina","H","A",23,FALSE,"20-30%"
28,"Lecce","Como","A","A",24,TRUE,"20-30%"
28,"Torino","Cagliari","A","H",25,FALSE,"20-30%"
29,"Udinese","Lazio","D","A",26,FALSE,"20-30%"
29,"Pisa","Juventus","A","D",5,FALSE,"0-20%"
29,"Como","Lecce","H","H",26,TRUE,"20-30%"
29,"Verona","Napoli","A","A",56,TRUE,"40%+"
29,"Inter","Genoa","H","H",60,TRUE,"40%+"
29,"Sassuolo","Udinese","H","H",11,TRUE,"0-20%"
29,"Pisa","Fiorentina","D","D",5,TRUE,"0-20%"
29,"Roma","Verona","H","H",49,TRUE,"40%+"
29,"Lecce","Bologna","D","A",25,FALSE,"20-30%"
29,"Milan","Napoli","H","A",9,FALSE,"0-20%"
30,"Lecce","Napoli","A","A",60,TRUE,"40%+"
30,"Atalanta","Milan","D","H",15,FALSE,"0-20%"
30,"Como","Sassuolo","H","H",23,TRUE,"20-30%"
30,"Milan","Verona","H","H",46,TRUE,"40%+"
30,"Cremonese","Napoli","A","A",65,TRUE,"40%+"
30,"Bologna","Sassuolo","D","H",41,FALSE,"40%+"
30,"Atalanta","Inter","A","A",30,TRUE,"20-30%"
30,"Cremonese","Sassuolo","H","A",30,FALSE,"20-30%"
30,"Lecce","Milan","A","A",51,TRUE,"40%+"
30,"Parma","Torino","H","A",13,FALSE,"0-20%"
31,"Genoa","Lazio","A","A",25,TRUE,"20-30%"
31,"Como","Verona","H","H",22,TRUE,"20-30%"
31,"Juventus","Udinese","H","H",48,TRUE,"40%+"
31,"Roma","Parma","H","H",53,TRUE,"40%+"
31,"Bologna","Torino","D","H",27,FALSE,"20-30%"
31,"Genoa","Cremonese","A","H",23,FALSE,"20-30%"
31,"Inter","Fiorentina","H","H",44,TRUE,"40%+"
31,"Genoa","Verona","H","H",12,TRUE,"0-20%"
31,"Parma","Udinese","A","A",6,TRUE,"0-20%"
31,"Juventus","Cagliari","H","H",59,TRUE,"40%+"
32,"Milan","Lazio","H","H",20,TRUE,"0-20%"
32,"Roma","Genoa","H","H",49,TRUE,"40%+"
32,"Lazio","Genoa","H","H",39,TRUE,"30-40%"
32,"Bologna","Como","H","H",27,TRUE,"20-30%"
32,"Parma","Atalanta","D","A",53,FALSE,"40%+"
32,"Napoli","Cagliari","H","H",55,TRUE,"40%+"
32,"Pisa","Roma","A","D",5,FALSE,"0-20%"
32,"Cagliari","Sassuolo","A","H",10,FALSE,"0-20%"
32,"Pisa","Lazio","D","D",5,TRUE,"0-20%"
32,"Lecce","Torino","H","A",25,FALSE,"20-30%"
33,"Pisa","Inter","A","D",5,FALSE,"0-20%"
33,"Atalanta","Fiorentina","H","H",27,TRUE,"20-30%"
33,"Roma","Napoli","A","A",8,TRUE,"0-20%"
33,"Pisa","Sassuolo","A","D",5,FALSE,"0-20%"
33,"Napoli","Fiorentina","H","H",28,TRUE,"20-30%"
33,"Cagliari","Verona","H","H",10,TRUE,"0-20%"
33,"Genoa","Juventus","A","A",29,TRUE,"20-30%"
33,"Torino","Fiorentina","D","A",5,FALSE,"0-20%"
33,"Inter","Udinese","A","H",58,FALSE,"40%+"
33,"Lazio","Verona","H","H",39,TRUE,"30-40%"
