"Team","EloRating"
"Juventus",1645
"Fiorentina",1592
"Roma",1652
"Udinese",1456
"Atalanta",1635
"Lazio",1599
"Bologna",1589
"Crotone",1458
"Chievo",1476
"Inter",1708
"Empoli",1405
"Sampdoria",1418
"Genoa",1495
"Cagliari",1436
"Milan",1604
"Torino",1493
"Palermo",1488
"Sassuolo",1433
"Pescara",1484
"Napoli",1669
"Verona",1444
"Spal",1460
"Benevento",1469
"Parma",1457
"Frosinone",1450
"Brescia",1471
"Lecce",1434
"Spezia",1452
"Salernitana",1387
"Venezia",1418
"Monza",1339
"Cremonese",1461
"Como",1525
