"Week","HomeTeam","AwayTeam","Actual","Enhanced","Baseline","Confidence","EnhancedCorrect","BaselineCorrect","ConfBucket"
28,"Verona","Cagliari","D","H","H",11,FALSE,FALSE,"0-20%"
28,"Fiorentina","Bologna","D","H","H",17,FALSE,FALSE,"0-20%"
28,"Lazio","Juventus","H","A","A",10,FALSE,FALSE,"0-20%"
28,"Parma","Cagliari","D","A","H",10,FALSE,FALSE,"0-20%"
28,"Como","Cremonese","D","H","H",58,FALSE,FALSE,"40%+"
28,"Juventus","Atalanta","D","H","H",7,FALSE,FALSE,"0-20%"
28,"Cagliari","Inter","A","A","A",60,TRUE,TRUE,"40%+"
28,"Parma","Fiorentina","H","A","A",30,FALSE,FALSE,"20-30%"
28,"Lecce","Como","A","A","A",55,TRUE,TRUE,"40%+"
28,"Torino","Cagliari","A","H","H",31,FALSE,FALSE,"30-40%"
29,"Udinese","Lazio","D","A","A",16,FALSE,FALSE,"0-20%"
29,"Pisa","Juventus","A","A","A",37,TRUE,TRUE,"30-40%"
29,"Como","Lecce","H","H","H",55,TRUE,TRUE,"40%+"
29,"Verona","Napoli","A","A","A",45,TRUE,TRUE,"40%+"
29,"Inter","Genoa","H","H","H",64,TRUE,TRUE,"40%+"
29,"Sassuolo","Udinese","H","A","A",14,FALSE,FALSE,"0-20%"
29,"Pisa","Fiorentina","D","A","A",28,FALSE,FALSE,"20-30%"
29,"Roma","Verona","H","H","H",45,TRUE,TRUE,"40%+"
29,"Lecce","Bologna","D","A","A",31,FALSE,FALSE,"30-40%"
29,"Milan","Napoli","H","A","A",12,FALSE,FALSE,"0-20%"
30,"Lecce","Napoli","A","A","A",55,TRUE,TRUE,"40%+"
30,"Atalanta","Milan","D","A","A",8,FALSE,FALSE,"0-20%"
30,"Como","Sassuolo","H","H","H",44,TRUE,TRUE,"40%+"
30,"Milan","Verona","H","H","H",42,TRUE,TRUE,"40%+"
30,"Cremonese","Napoli","A","A","A",60,TRUE,TRUE,"40%+"
30,"Bologna","Sassuolo","D","H","H",27,FALSE,FALSE,"20-30%"
30,"Atalanta","Inter","A","A","A",29,TRUE,TRUE,"20-30%"
30,"Cremonese","Sassuolo","H","A","A",21,FALSE,FALSE,"20-30%"
30,"Lecce","Milan","A","A","A",45,TRUE,TRUE,"40%+"
30,"Parma","Torino","H","A","A",13,FALSE,FALSE,"0-20%"
31,"Genoa","Lazio","A","A","A",25,TRUE,TRUE,"20-30%"
31,"Como","Verona","H","H","H",47,TRUE,TRUE,"40%+"
31,"Juventus","Udinese","H","H","H",47,TRUE,TRUE,"40%+"
31,"Roma","Parma","H","H","H",67,TRUE,TRUE,"40%+"
31,"Bologna","Torino","D","H","H",29,FALSE,FALSE,"20-30%"
31,"Genoa","Cremonese","A","H","H",32,FALSE,FALSE,"30-40%"
31,"Inter","Fiorentina","H","H","H",54,TRUE,TRUE,"40%+"
31,"Genoa","Verona","H","H","H",17,TRUE,TRUE,"0-20%"
31,"Parma","Udinese","A","A","A",23,TRUE,TRUE,"20-30%"
31,"Juventus","Cagliari","H","H","H",60,TRUE,TRUE,"40%+"
32,"Milan","Lazio","H","H","H",21,TRUE,TRUE,"20-30%"
32,"Roma","Genoa","H","H","H",46,TRUE,TRUE,"40%+"
32,"Lazio","Genoa","H","H","H",31,TRUE,TRUE,"30-40%"
32,"Bologna","Como","H","H","A",8,TRUE,FALSE,"0-20%"
32,"Parma","Atalanta","D","A","A",52,FALSE,FALSE,"40%+"
32,"Napoli","Cagliari","H","H","H",58,TRUE,TRUE,"40%+"
32,"Pisa","Roma","A","A","A",31,TRUE,TRUE,"30-40%"
32,"Cagliari","Sassuolo","A","H","A",10,FALSE,TRUE,"0-20%"
32,"Pisa","Lazio","D","A","A",33,FALSE,FALSE,"30-40%"
32,"Lecce","Torino","H","A","A",20,FALSE,FALSE,"0-20%"
33,"Pisa","Inter","A","A","A",60,TRUE,TRUE,"40%+"
33,"Atalanta","Fiorentina","H","H","H",24,TRUE,TRUE,"20-30%"
33,"Roma","Napoli","A","H","H",13,FALSE,FALSE,"0-20%"
33,"Pisa","Sassuolo","A","A","A",24,TRUE,TRUE,"20-30%"
33,"Napoli","Fiorentina","H","H","H",26,TRUE,TRUE,"20-30%"
33,"Cagliari","Verona","H","H","H",8,TRUE,TRUE,"0-20%"
33,"Genoa","Juventus","A","A","A",27,TRUE,TRUE,"20-30%"
33,"Torino","Fiorentina","D","H","A",9,FALSE,FALSE,"0-20%"
33,"Inter","Udinese","A","H","H",65,FALSE,FALSE,"40%+"
33,"Lazio","Verona","H","H","H",37,TRUE,TRUE,"30-40%"
