"Club","PLD","W","D","L","GF","GA","GD","PTS","number","matches","wins","draws","loses","goals","ga","points","xG","xGA","ppda","ppda_allowed","deep","deep_allowed","xPTS","BlendedGF","BlendedGA","PressAdj","CombinedPred","CombinedDiff","Model1_EPL","Model2_OptPythag","Model3_xG"
"Atalanta",38,22,8,8,78,37,41,74,3,38,22,8,8,78,37,74,79.87,42.32,11.28,14.44,314,152,75.23,50.3810969197172,26.7571875985444,1.00926412997022,78.17,-4.17,74.86,78.73,74.81
"Bologna",38,16,14,8,57,47,10,62,9,38,16,14,8,57,47,62,57.18,41.38,7.54,11.87,184,152,61.82,36.8690096142973,33.0295635595579,1.05758748574234,62,0,58.1,57.94,63.08
"Cagliari",38,9,9,20,40,56,-16,36,16,38,9,9,20,40,56,36,48.73,62.61,14.4,10.81,160,235,43.05,25.4955402786423,40.3856167696321,0.968951597882246,36.58,-0.58,40.94,38.1,41.01
"Como",38,13,10,15,49,52,-3,49,10,38,13,10,15,49,52,49,49.76,50.11,10.41,10.77,240,172,51.39,31.6678585062427,36.8787618940912,1.02050512449475,49.71,-0.71,49.83,48.16,50.18
"Empoli",38,6,13,19,33,59,-26,31,18,38,6,13,19,33,59,31,38.32,52.79,11.64,8.28,141,219,41.67,21.1163961964495,41.5281238235116,1.00461268396007,31,0,33.63,30.21,38.7
"Fiorentina",38,19,8,11,60,41,19,65,6,38,19,8,11,60,41,65,54.11,46.76,13.28,10.7,190,200,55.61,39.0761940587252,29.6393834030577,0.983422763247158,63.83,1.17,64.13,65.3,56.12
"Genoa",38,10,13,15,37,49,-12,43,13,38,10,13,15,37,49,43,40.02,53.43,10.99,10.54,129,257,43.46,23.8051516882135,35.2324975248669,1.01301112814506,40.66,2.34,42.72,40.12,39.78
"Inter",38,24,9,5,79,35,44,81,2,38,24,9,5,79,35,81,76.74,42.43,10.59,19.95,354,165,75.42,51.2092458317894,25.4966673185576,1.01817940148967,81,0,76.68,81.04,73.26
"Juventus",38,18,16,4,58,35,23,70,4,38,18,16,4,58,35,70,58.12,35.36,9.71,15.58,241,159,69.51,37.5186051201067,24.9487343617132,1.02954960284782,71.86,-1.86,67.98,70.06,69.75
"Lazio",38,18,11,9,61,49,12,65,7,38,18,11,9,61,49,65,65.32,43.49,11.41,13.08,224,167,66.78,39.2752383403775,34.4621363380164,1.00758444113322,59.83,5.17,58.94,58.94,66.27
"Lecce",38,8,10,20,27,58,-31,34,17,38,8,10,20,27,58,34,36.99,64.64,12.21,9.46,139,251,34.88,17.0297408075405,41.8119894580556,0.997247894443994,24.61,9.39,28.65,25.07,30.83
"Milan",38,18,9,11,61,43,18,63,8,38,18,9,11,61,43,63,69.51,47.27,12.27,13.63,289,202,68.4,39.09142046022,30.9479543808159,0.996472653442303,63.07,-0.07,63.14,64.08,65.43
"Monza",38,3,9,26,28,69,-41,18,20,38,3,9,26,28,69,18,32.12,65.23,13.35,10.29,121,256,30.81,17.9342245910863,48.8374648428812,0.982518315411851,21.67,-3.67,25.2,21.55,26.5
"Napoli",38,24,10,4,59,27,32,82,1,38,24,10,4,59,27,82,57.05,31.55,11.76,14.04,264,167,70.98,38.2563805636529,19.5772734586558,1.00306220195668,79.06,2.94,75.89,79.91,73.29
"Parma",38,7,15,16,44,58,-14,36,15,38,7,15,16,44,58,36,47.95,66.01,16.32,11.32,176,241,42.92,28.293094897564,41.9181659999052,0.94414388582811,37.77,-1.77,42.82,40.16,38.55
"Roma",38,20,9,9,56,35,21,69,5,38,20,9,9,56,35,69,62.07,48.06,12.14,14.38,274,183,61.75,35.9636484184356,25.9329986547717,0.998152342279301,66.72,2.28,66.92,68.74,60.38
"Torino",38,10,14,14,39,45,-6,44,11,38,10,14,14,39,45,44,37.29,56.8,13.2,12.79,169,218,39,25.3065862386215,32.9555855100219,0.984456417916081,44,0,47.15,45.15,35.26
"Udinese",38,12,8,18,41,56,-15,44,12,38,12,8,18,41,56,44,44.51,58.93,11.89,11.29,166,202,42.93,26.3715081619251,40.1004126280215,1.00138251311968,39.19,4.81,41.71,38.95,39.99
"Venezia",38,5,14,19,32,56,-24,29,19,38,5,14,19,32,56,29,41.63,64.92,11.87,7.89,189,256,38.11,20.2803505735351,40.5646443693932,1.00164092678691,30.42,-1.42,34.26,30.89,34.39
"Verona",38,10,7,21,34,66,-32,37,14,38,10,7,21,34,66,37,37.32,60.54,13.68,9.37,142,252,36.63,21.8511006968904,46.570416458901,0.978254489902547,27.84,9.16,31.31,27.74,33.18
