"Club","PLD","W","D","L","GF","GA","GD","PTS","PythagFrac","PythagPTS","PythagDiff"
"Napoli",38,24,10,4,59,27,32,82,0.718361855551643,75.89,6.11
"Inter",38,24,9,5,79,35,44,81,0.725902188499518,76.68,4.32
"Atalanta",38,22,8,8,78,37,41,74,0.708615951949866,74.86,-0.86
"Juventus",38,18,16,4,58,35,23,70,0.643540482338774,67.98,2.02
"Roma",38,20,9,9,56,35,21,69,0.633497571699517,66.92,2.08
"Fiorentina",38,19,8,11,60,41,19,65,0.607072277317381,64.13,0.87
"Lazio",38,18,11,9,61,49,12,65,0.557915929654638,58.94,6.06
"Milan",38,18,9,11,61,43,18,63,0.597722258711254,63.14,-0.14
"Bologna",38,16,14,8,57,47,10,62,0.550007022682528,58.1,3.9
"Como",38,13,10,15,49,52,-3,49,0.471730809917089,49.83,-0.83
"Torino",38,10,14,14,39,45,-6,44,0.446329649497852,47.15,-3.15
"Udinese",38,12,8,18,41,56,-15,44,0.394876323402091,41.71,2.29
"Genoa",38,10,13,15,37,49,-12,43,0.404382574504535,42.72,0.28
"Verona",38,10,7,21,34,66,-32,37,0.29642476398148,31.31,5.69
"Parma",38,7,15,16,44,58,-14,36,0.40536530347521,42.82,-6.82
"Cagliari",38,9,9,20,40,56,-16,36,0.387584023817994,40.94,-4.94
"Lecce",38,8,10,20,27,58,-31,34,0.271165756528629,28.65,5.35
"Empoli",38,6,13,19,33,59,-26,31,0.318374412175198,33.63,-2.63
"Venezia",38,5,14,19,32,56,-24,29,0.324278763052133,34.26,-5.26
"Monza",38,3,9,26,28,69,-41,18,0.238540198671035,25.2,-7.2
