"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Napoli";38;24;10;4;59;27;82;57.05;31.55;11.76;14.04;264;167;70.98
2;"Inter";38;24;9;5;79;35;81;76.74;42.43;10.59;19.95;354;165;75.42
3;"Atalanta";38;22;8;8;78;37;74;79.87;42.32;11.28;14.44;314;152;75.23
4;"Juventus";38;18;16;4;58;35;70;58.12;35.36;9.71;15.58;241;159;69.51
5;"Roma";38;20;9;9;56;35;69;62.07;48.06;12.14;14.38;274;183;61.75
6;"Fiorentina";38;19;8;11;60;41;65;54.11;46.76;13.28;10.7;190;200;55.61
7;"Lazio";38;18;11;9;61;49;65;65.32;43.49;11.41;13.08;224;167;66.78
8;"AC Milan";38;18;9;11;61;43;63;69.51;47.27;12.27;13.63;289;202;68.4
9;"Bologna";38;16;14;8;57;47;62;57.18;41.38;7.54;11.87;184;152;61.82
10;"Como";38;13;10;15;49;52;49;49.76;50.11;10.41;10.77;240;172;51.39
11;"Torino";38;10;14;14;39;45;44;37.29;56.8;13.2;12.79;169;218;39
12;"Udinese";38;12;8;18;41;56;44;44.51;58.93;11.89;11.29;166;202;42.93
13;"Genoa";38;10;13;15;37;49;43;40.02;53.43;10.99;10.54;129;257;43.46
14;"Verona";38;10;7;21;34;66;37;37.32;60.54;13.68;9.37;142;252;36.63
15;"Parma Calcio 1913";38;7;15;16;44;58;36;47.95;66.01;16.32;11.32;176;241;42.92
16;"Cagliari";38;9;9;20;40;56;36;48.73;62.61;14.4;10.81;160;235;43.05
17;"Lecce";38;8;10;20;27;58;34;36.99;64.64;12.21;9.46;139;251;34.88
18;"Empoli";38;6;13;19;33;59;31;38.32;52.79;11.64;8.28;141;219;41.67
19;"Venezia";38;5;14;19;32;56;29;41.63;64.92;11.87;7.89;189;256;38.11
20;"Monza";38;3;9;26;28;69;18;32.12;65.23;13.35;10.29;121;256;30.81
