"Team","HomeAttack","HomeDefense","AwayAttack","AwayDefense","NetStrength"
"Juventus",1.1945736650046,0.592617480018867,1.1798075866926,0.73483941056854,1.047
"Roma",1.28939524777849,0.739802676211952,1.07048478074058,0.881695868965709,0.738
"Atalanta",1.41563831861612,0.962066537012748,1.52147366108638,0.734616563135463,1.24
"Bologna",1.08983537145882,0.799116113483792,0.964780223685316,1.05451405331625,0.201
"Chievo",0.685621326499345,1.33259073082167,0.566266290196484,1.30253433243266,-1.383
"Empoli",0.617604363948072,1.15067405863658,0.788181127132582,1.11817923188633,-0.863
"Genoa",0.831903896643681,1.05703813324759,0.706674130622039,0.993078703420728,-0.512
"Milan",1.21953257750912,0.734892195566353,1.40168377796874,0.932505083707067,0.954
"Palermo",0.47511072731831,1.27155604086037,0.847704027240245,1.71770801415081,-1.666
"Pescara",0.694392601465222,1.61063765175647,0.762933624516221,1.57152009805287,-1.725
"Lazio",1.20504749435917,0.890218451777142,1.20901202421642,0.868659294130756,0.655
"Napoli",1.24337725284827,0.775080602955334,1.36046158518069,0.620741524833561,1.208
"Cagliari",0.911833980265577,1.26682963351424,0.668710407099949,1.15293887066452,-0.839
"Crotone",0.830962891504088,1.33848004301091,0.837665426917663,1.8446606781306,-1.515
"Fiorentina",1.17128610824814,0.877425357463608,1.05730401690239,0.916682915958662,0.434
"Inter",1.52817627231956,0.68475360371129,1.62885811941514,0.610044848045907,1.862
"Sampdoria",0.866856123397761,1.15714369992892,0.76404173435575,1.30541987169159,-0.832
"Sassuolo",0.97073905689598,1.25129294020923,1.07059813440276,1.32963680266713,-0.54
"Torino",0.744867545056965,0.791750392515394,0.919293666126083,0.963703724337725,-0.091
"Udinese",0.851277194350818,1.08521622267737,0.842922769769531,1.04682581687512,-0.438
"Verona",0.769601818750337,1.27155604086037,0.775063151594096,1.04023748657474,-0.767
"Benevento",0.729832096276844,1.66329805344866,0.777062024970225,1.38657023450472,-1.543
"Spal",0.677080874558887,1.40986564530483,0.69377882229399,1.21759145907891,-1.257
"Parma",0.845060469830681,1.23245227444251,0.899933533434725,1.20864396438395,-0.696
"Frosinone",0.952741935948653,1.39140385160813,0.672316987121574,1.32199244816156,-1.088
"Lecce",0.603852348902505,1.23196163464976,0.640313062551222,0.995190782736706,-0.983
"Brescia",0.767486559514193,1.44109684630842,0.593392819068172,1.64461405610184,-1.725
"Spezia",0.775792691110667,1.30045504178901,0.751374024144763,1.33230350807442,-1.106
"Salernitana",0.769770745703223,1.46096490944686,0.684785909505011,1.45959497479038,-1.466
"Venezia",0.659199214256458,1.10829452450299,0.613800508612844,1.21417185870235,-1.049
"Monza",0.694392601465222,1.15852883722834,0.72525788997221,1.16544255333637,-0.904
"Cremonese",0.54820468536728,1.31394124222238,0.890089228602258,1.38878520293044,-1.264
"Como",1.02331541268559,1.10201523541232,0.890089228602258,0.950221454636619,-0.139
