"HomeTeam","AwayTeam","Date","Actual","Precip_mm","Wind_kmh","Temp_C","WeatherFactor","BasePred","WeatherPred","BaseCorrect","WeatherCorrect"
"Lecce","Genoa","2020-01-05","D",1.4,43.2,9.8,0.836,"A","A",FALSE,FALSE
"Inter","Bologna","2020-01-15","D",0,5.9,3.7,0.95,"H","H",FALSE,FALSE
"Atalanta","Napoli","2020-01-18","A",20.3,8.7,4.3,0.76,"A","A",TRUE,TRUE
"Roma","Napoli","2020-02-02","D",1.1,11.2,12.7,0.95,"A","A",FALSE,FALSE
"Venezia","Lazio","2020-02-22","D",0,15.7,8,1,"A","A",FALSE,FALSE
"Genoa","Empoli","2020-03-02","D",72.1,37.9,9.6,0.76,"H","H",FALSE,FALSE
"Bologna","Lazio","2020-03-16","H",0,8.1,7.4,1,"H","H",TRUE,TRUE
"Roma","Cagliari","2020-03-16","H",0,14.1,11,1,"H","H",TRUE,TRUE
"Lazio","Torino","2020-03-31","D",2.7,30.7,10.7,0.902,"H","H",FALSE,FALSE
"Empoli","Cagliari","2020-04-06","D",0,18.3,14.1,1,"H","H",FALSE,FALSE
"Empoli","Venezia","2020-04-20","D",21.8,20.9,14.8,0.76,"H","D",FALSE,TRUE
"Como","Genoa","2020-04-27","H",1.3,6.2,15,0.95,"H","H",TRUE,TRUE
"Atalanta","Lecce","2020-04-27","D",2.1,8.5,14.9,0.95,"H","H",FALSE,FALSE
"Parma","Como","2020-05-03","A",0.2,17.4,17.8,1,"A","A",TRUE,TRUE
"Juventus","Como","2020-08-19","H",0,11.8,22.6,1,"H","H",TRUE,TRUE
"Napoli","Parma","2020-08-31","H",1.1,36.3,24.9,0.902,"H","H",TRUE,TRUE
"Roma","Venezia","2020-09-29","H",0,12.4,15.2,1,"H","H",TRUE,TRUE
"Udinese","Cagliari","2020-10-25","H",1.2,11.2,15,0.95,"H","H",TRUE,TRUE
"Atalanta","Monza","2020-10-30","H",0,6.8,10.5,1,"H","H",TRUE,TRUE
"Juventus","Parma","2020-10-30","D",0,7.8,11.9,1,"H","H",FALSE,FALSE
"Genoa","Fiorentina","2020-10-31","A",0.2,10.4,15.1,1,"A","A",TRUE,TRUE
"Udinese","Juventus","2020-11-02","A",0,6.9,12.5,1,"A","A",TRUE,TRUE
"Venezia","Parma","2020-11-09","A",0,7.2,9.7,1,"A","A",TRUE,TRUE
"Inter","Napoli","2020-11-10","D",0,5.6,10.5,1,"H","H",FALSE,FALSE
"Torino","Monza","2020-11-24","D",0,9.4,2.8,0.95,"H","H",FALSE,FALSE
"Venezia","Como","2020-12-08","D",28.8,36.4,6.1,0.76,"A","A",FALSE,FALSE
"Bologna","Fiorentina","2020-12-15","H",0.2,7.1,4.2,0.95,"H","H",TRUE,TRUE
"Atalanta","Empoli","2020-12-22","H",0,5.5,7.2,1,"H","H",TRUE,TRUE
"Inter","Como","2020-12-23","H",2.9,5.2,8.8,0.95,"H","H",TRUE,TRUE
"Bologna","Verona","2020-12-30","A",1.1,8.2,2.1,0.902,"H","H",FALSE,FALSE
